Ward,LocationCode,LocationName,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O'Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
13,13-024,Brittany Place - Adv 1,0,134,0,0,13,0,5,11,0,0,0,0,0,1,27,0,0,0,0,1,76,0
13,13-025,Thomson Terrace Apartments - Adv 1,0,103,0,2,6,1,10,6,0,1,1,0,0,2,21,1,0,0,3,0,49,0
13,13-026,Brittany Park Recreation - Adv 1,0,35,0,0,2,0,1,4,0,0,0,0,0,1,6,0,1,0,0,0,20,0
13,13-027,Le Parc Apartments - Adv 1,0,175,0,0,11,0,2,14,0,0,0,0,1,0,47,0,0,1,0,1,98,0
13,13-028,Liuna Housing 527 - Adv 1,0,28,0,0,2,0,3,1,0,0,0,0,1,0,6,1,0,1,0,0,13,0
13,13-029,Highlands Apartments - Adv 1,0,183,0,0,22,0,4,18,0,0,1,0,0,5,22,0,0,1,1,2,107,0
13,13-030,Brittany Apartments - Adv 1,0,40,2,1,2,0,3,3,0,0,0,0,0,0,9,1,0,0,0,0,18,1
13,13-031,Las Brisas Apartments - Adv 1,0,144,2,0,8,0,10,17,0,0,0,0,0,1,29,0,0,1,0,0,73,3
13,13-032,Crosswinds Apartments - Adv 1,0,156,0,0,7,0,3,22,0,0,0,0,0,3,45,0,0,0,0,0,76,0
13,13-033,Senior's Club 800 - Adv 1,0,87,1,0,1,2,9,9,0,0,0,0,0,1,9,0,1,0,1,0,51,2
13,13-034,Queen Mary Court - Adv 1,0,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
13,13-035,Chateau Donald - Adv 1,0,46,0,1,2,1,3,2,2,1,0,0,1,0,6,0,1,1,1,0,22,2
13,13-036,Donald Court - Adv 1,0,14,0,1,2,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,4,0
13,13-037,St. Laurent Complex - Adv 1,0,366,4,2,30,2,9,28,0,0,2,0,0,2,65,1,1,1,3,1,214,1
13,13-038,Rockcliffe Park Community Centre - Adv 2,0,529,3,0,72,0,3,14,1,2,0,0,0,9,104,0,0,0,2,1,318,0
14,14-001,Christ Church Cathedral,1389,439,4,3,91,0,0,10,0,0,0,0,0,13,80,0,3,0,0,3,231,1
14,14-002,Plant Recreation Centre,3047,927,5,2,331,2,2,34,0,3,1,0,0,12,87,2,1,1,6,6,430,2
14,14-003,Saint Vincent Hospital,68,107,1,3,11,0,5,9,1,1,0,0,0,1,31,1,1,0,0,0,42,0
14,14-004,Dalhousie Community Centre,1877,513,5,0,153,3,4,15,1,0,0,0,1,4,50,1,0,0,3,5,267,1
14,14-005,Centennial Public School,2717,821,2,4,200,1,5,30,1,1,0,0,0,7,122,1,0,0,3,4,440,0
14,14-006,McNabb Community Centre,3292,1076,7,0,374,2,0,29,0,0,0,0,0,9,103,0,1,2,4,10,534,1
14,14-007,Centertown United Church,2458,802,4,0,243,1,1,18,0,1,0,0,1,10,102,0,3,0,5,7,405,1
14,14-008,Jack Purcell Community Centre,3040,1060,3,7,313,0,2,23,0,2,0,0,0,13,104,0,0,0,8,16,565,4
14,14-009,Knox Presbyterian Church,2692,1051,3,2,262,2,2,28,0,1,1,0,0,15,144,1,0,0,4,9,577,0
14,14-010,Saint Patrick's Basilica,2516,915,2,3,186,0,5,31,0,1,3,1,0,16,131,0,1,0,8,4,522,1
14,14-011,McLeod Retirement Residence,61,38,0,0,3,0,2,3,1,0,1,0,0,1,5,0,0,1,0,0,20,1
14,14-012,Park Square Apartments - Adv 2,0,95,0,1,8,0,0,4,0,1,0,0,0,0,27,1,0,0,0,0,53,0
14,14-013,Rochester Towers - Adv 2,0,100,1,0,3,0,2,6,3,1,0,0,2,1,33,2,2,3,0,1,38,2
14,14-014,Gladstone Terrace - Adv 2,0,56,1,0,1,2,1,4,1,1,2,0,1,0,21,0,0,1,1,0,19,0
14,14-015,Desjardins Co-op Apartments - Adv 2,0,52,0,0,3,0,0,1,0,1,1,0,0,0,11,0,0,1,3,0,31,0
14,14-016,Stonecliffe Apartments - Adv 2,0,40,0,0,6,0,0,1,0,0,0,0,0,1,4,1,0,0,0,1,26,0
14,14-017,C. C. C. #289 - Adv 2,0,50,0,1,6,0,0,1,1,0,0,0,0,1,8,0,1,0,1,0,30,0
14,14-018,Queen Elizabeth Towers - Adv 2,0,156,1,0,22,0,1,6,1,0,0,0,0,1,44,0,1,1,0,0,78,0
14,14-019,Bronson Avenue Apartments - Adv 2,0,39,1,1,4,0,0,2,0,0,0,0,1,2,8,0,0,0,0,0,20,0
14,14-020,Blair House - Adv 2,0,13,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,7,1
14,14-021,Brooke Tower - Adv 2,0,46,0,0,8,0,1,1,0,1,0,0,0,0,7,0,0,0,1,0,27,0
14,14-022,C. C. C. #92 - Adv 2,0,51,0,0,9,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,29,0
14,14-023,Somerset Manor - Adv 2,0,66,3,0,6,0,1,1,1,0,1,0,1,1,30,2,0,0,0,0,18,1
14,14-024,MacLaren Apartments - Adv 2,0,62,1,2,4,0,3,2,1,1,0,0,0,0,17,0,0,0,3,1,26,1
14,14-025,Ten Driveway Apartments - Adv 2,0,106,0,0,14,0,0,4,0,0,0,0,0,4,29,0,1,0,1,0,53,0
14,14-026,Ann Manor - Adv 2,0,73,0,0,13,0,1,1,0,0,0,0,0,1,14,0,0,0,0,0,43,0
14,14-027,Montclair Apartments - Adv 2,0,55,0,0,4,0,1,1,0,0,0,0,0,2,13,0,0,0,0,1,33,0
14,14-028,St. Moritz Aparments - Adv 2,0,73,1,0,7,0,2,7,0,0,0,0,0,3,10,0,1,0,0,0,42,0
14,14-029,20 The Driveway Apartments - Adv 2,0,76,0,0,9,0,2,3,0,0,0,0,0,1,16,0,0,0,1,0,44,0
14,14-030,Regency Apartments - Adv 2,0,50,0,0,9,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,30,0
